question,Strongly agree,Agree,Disagree,Strongly disagree,True sometimes,positive_response,negative_response,neutral_response,total_responses
Academic Advising,2,0,0,0,1,2,0,1,6
Academic Advisor,0,12,6,0,0,12,6,0,36
Academic and Career Counseling Services,0,0,4,0,1,0,4,1,10
Advertisements,1,0,2,0,1,1,2,1,8
Are available for consultation and advice,1,2,2,0,0,3,2,0,10
Are enthusiastic,2,0,0,0,1,2,0,1,6
Are knowledgeable of the content of the courses they taught,2,0,2,0,0,2,2,0,8
Aspirational leaders,2,2,0,0,0,4,0,0,8
Availability of study sites,1,2,0,0,1,3,0,1,8
Availability of the digital databases,0,2,2,0,1,2,2,1,10
Cared about the progress of their students,2,0,0,0,1,2,0,1,6
Center of Communication and Rhetoric (CCR),0,0,0,0,3,0,0,3,6
Center of Excellence in Writing and Speaking (CEWS),0,0,4,0,1,0,4,1,10
Channels for scholarship and financial support,2,2,0,0,0,4,0,0,8
Channels of payment,2,0,0,0,1,2,0,1,6
Citrine Ambassador Program (EAP),0,4,0,0,1,4,0,1,10
Citrine's Code of Ethical Conduct (Tarbwyyat Citrine),2,2,0,0,0,4,0,0,8
"Classrooms attractiveness and comfortability (including lecture rooms, laboratories etc.)",0,4,0,0,1,4,0,1,10
Comprehensive learning experience,1,0,0,2,1,1,2,1,8
Contributes to technological advancements locally and globally,0,2,0,2,1,2,2,1,10
Current and up-to-date library materials,1,2,0,2,0,3,2,0,10
Encourage me to investigate new ideas,1,2,0,0,1,3,0,1,8
Enhancement Program (ESP) Services,0,2,0,0,2,2,0,2,8
Family Member,1,0,2,0,1,1,2,1,8
"For Extra-curricular activities (swimming pool, gym, running track, student lounge)",1,4,0,0,0,5,0,0,10
For Healthy Food Services,0,2,0,0,2,2,0,2,8
For Religious observances,1,2,2,0,0,3,2,0,10
Gave me helpful feedback on my work,2,2,0,0,0,4,0,0,8
Grade Appeal and Academic and Non-academic Concerns Process,2,2,0,0,0,4,0,0,8
Helped me to develop leadership skills,1,2,0,0,1,3,0,1,8
I would like to take another course with the same instructor,3,2,5,3,0,5,8,0,26
Impactful knowledge and intellectual contributions,1,4,0,0,0,5,0,0,10
Inspired me to do my best,1,4,0,0,0,5,0,0,10
Library atmosphere for studying,1,0,0,0,2,1,0,2,6
Library copy & print facilities,1,0,0,0,2,1,0,2,6
Library website,0,4,2,0,0,4,2,0,12
Library workshops,0,4,0,2,0,4,2,0,12
Made me aware of the ethical values necessary for my future career,1,2,2,0,0,3,2,0,10
Medical Clinic,1,0,2,0,1,1,2,1,8
My Current Employer,0,2,2,0,1,2,2,1,10
My ability to investigate and solve new problems,1,0,2,2,0,1,4,0,10
My ability to use technology to find information and report results,0,2,0,0,2,2,0,2,8
My ability to work effectively in groups,0,2,2,2,0,2,4,0,12
My interest to want to continue to keep up to date with new developments in my field of study,1,2,0,2,0,3,2,0,10
My rights and responsibilities at Citrine University,2,0,0,0,1,2,0,1,6
My skills in communication,0,4,2,0,0,4,2,0,12
Others,0,8,8,0,4,8,8,4,40
"Overall, I was satisfied with the quality of this course",1,9,1,3,0,10,4,0,28
Peer Tutoring Services,0,2,2,0,1,2,2,1,10
Personal Counseling Services,1,0,2,2,0,1,4,0,10
Previous Citrine University Graduate,0,2,0,0,2,2,0,2,8
Printed Brochures and Booklets,0,0,2,0,2,0,2,2,8
Provides quality education centered on encouraging innovative scientific solutions and research,2,0,0,0,0,2,0,0,4
Registration Process,1,4,0,0,0,5,0,0,10
Serves as an agent of change that advances inspired leaders and scholars in fulfilling Queen Citrine Al-Thunayan Al-Saud ‘s legacy (God rest her soul),3,0,0,0,0,3,0,0,6
Social Media,1,0,2,0,1,1,2,1,8
Socio-economic growth of the Kingdom,1,0,2,0,1,1,2,1,8
Solutions to societal and economic challenges,1,2,0,0,1,3,0,1,8
Sports Activities,2,0,0,0,1,2,0,1,6
"Student Life (Events, activities, trips, clubs, etc...)",1,0,2,0,1,1,2,1,8
The Dean of Academic Development and Supportive Studies,0,12,6,0,0,12,6,0,36
The Dean of Admission and Registration,3,6,0,0,3,9,0,3,24
The Dean of Graduate Studies and Research,3,6,0,0,3,9,0,3,24
The Dean of Student Affairs,3,0,0,6,0,3,6,0,18
The Dean of the College,3,0,12,0,0,3,12,0,30
The Department Chair,6,6,0,0,0,12,0,0,24
The Email services,1,0,0,4,0,1,4,0,10
The Learning Management System (Blackboard) services,0,2,2,0,1,2,2,1,10
The President of the University,3,0,6,0,3,3,6,3,24
The Provost,3,0,6,0,3,3,6,3,24
The Student Information System (Banner) services,1,2,2,0,0,3,2,0,10
The accessibility of IT systems off campus,1,2,0,0,1,3,0,1,8
The accessibility of digital resources,1,2,0,0,1,3,0,1,8
The assessment tasks and the assessment criteria were made clear to  me,4,1,6,3,0,5,9,0,28
The attendance system (fingerprints) services,2,0,2,0,0,2,2,0,8
"The class activities, assignments, laboratories helped me in understanding the course",1,8,1,3,0,9,4,0,26
The course generally followed the syllabus,0,9,2,2,0,9,4,0,26
The course materials were made available on Blackboard,2,6,3,1,0,8,4,0,24
The course materials were up to date and useful,2,6,3,2,0,8,5,0,26
The course resources I needed were available when I needed them,4,5,2,3,0,9,5,0,28
The course was intellectually challenging,5,5,1,3,0,10,4,0,28
The effort required for this course was appropriate,3,4,4,2,0,7,6,0,26
The functionality of library equipment,1,2,0,0,1,3,0,1,8
The help of library staff,2,0,0,0,1,2,0,1,6
The instructor returned assignments/tests timely and with feedback,3,4,4,2,0,7,6,0,26
The instructor stimulated interest in the course subject,3,6,1,2,0,9,3,0,24
The instructor treated students with respect,2,5,2,4,0,7,6,0,26
The instructor was available for help outside of class,1,5,5,3,0,6,8,0,28
The instructor was enthusiastic about the subject,5,3,2,3,0,8,5,0,26
The instructor was prepared,3,7,2,2,0,10,4,0,28
The instructor's explanation was clear,0,7,2,4,0,7,6,0,26
The internet accessibility services on campus,1,2,0,0,1,3,0,1,8
The lab activities were well integrated with the lectures.,1,6,5,1,0,7,6,0,26
The lab sessions were organized and clear instructions were given to me,1,6,5,2,0,7,7,0,28
The library working times,1,2,2,0,0,3,2,0,10
The orientation program for new students,1,2,0,0,1,3,0,1,8
University School Visit,0,0,4,0,1,0,4,1,10
University Website,0,0,2,0,2,0,2,2,8
Use up-to-date and useful study materials,1,2,2,0,0,3,2,0,10
Used effective methods of teaching,2,0,0,0,1,2,0,1,6
