Agree,Disagree,Strongly agree,Strongly disagree,True sometimes,total_responses,question
0,0,2,0,1,3,Academic Advising
12,6,0,0,0,18,Academic Advisor
0,4,0,0,1,5,Academic and Career Counseling Services 
0,2,1,0,1,4,Advertisements 
2,2,1,0,0,5,Are available for consultation and advice
0,0,2,0,1,3,Are enthusiastic 
0,2,2,0,0,4,Are knowledgeable of the content of the courses they taught
2,0,2,0,0,4,Aspirational leaders
2,0,1,0,1,4,Availability of study sites
2,2,0,0,1,5,Availability of the digital databases
0,0,2,0,1,3,Cared about the progress of their students
0,0,0,0,3,3,Center of Communication and Rhetoric (CCR)
0,4,0,0,1,5,Center of Excellence in Writing and Speaking (CEWS)
2,0,2,0,0,4,Channels for scholarship and financial support
0,0,2,0,1,3,Channels of payment
4,0,0,0,1,5,Citrine Ambassador Program (EAP)
2,0,2,0,0,4,Citrine's Code of Ethical Conduct (Tarbwyyat Citrine)
4,0,0,0,1,5,"Classrooms attractiveness and comfortability (including lecture rooms, laboratories etc.)"
0,0,1,2,1,4,Comprehensive learning experience
2,0,0,2,1,5,Contributes to technological advancements locally and globally
2,0,1,2,0,5,Current and up-to-date library materials
2,0,1,0,1,4,Encourage me to investigate new ideas
2,0,0,0,2,4,Enhancement Program (ESP) Services
0,2,1,0,1,4,Family Member
4,0,1,0,0,5,"For Extra-curricular activities (swimming pool, gym, running track, student lounge)"
2,0,0,0,2,4,For Healthy Food Services 
2,2,1,0,0,5,For Religious observances
2,0,2,0,0,4,Gave me helpful feedback on my work
2,0,2,0,0,4,Grade Appeal and Academic and Non-academic Concerns Process
2,0,1,0,1,4,Helped me to develop leadership skills
4,0,1,0,0,5,Impactful knowledge and intellectual contributions
4,0,1,0,0,5,Inspired me to do my best
0,0,1,0,2,3,Library atmosphere for studying
0,0,1,0,2,3,Library copy & print facilities
4,2,0,0,0,6,Library website
4,0,0,2,0,6,Library workshops
2,2,1,0,0,5,Made me aware of the ethical values necessary for my future career
0,2,1,0,1,4,Medical Clinic
0,2,1,2,0,5,My ability to investigate and solve new problems
2,0,0,0,2,4,My ability to use technology to find information and report results
2,2,0,2,0,6,My ability to work effectively in groups
2,2,0,0,1,5,My Current Employer
2,0,1,2,0,5,My interest to want to continue to keep up to date with new developments in my field of study
0,0,2,0,1,3,My rights and responsibilities at Citrine University
4,2,0,0,0,6,My skills in communication
8,8,0,0,4,20,Others 
2,2,0,0,1,5,Peer Tutoring Services
0,2,1,2,0,5,Personal Counseling Services
2,0,0,0,2,4,Previous Citrine University Graduate
0,2,0,0,2,4,Printed Brochures and Booklets
0,0,2,0,0,2,Provides quality education centered on encouraging innovative scientific solutions and research
4,0,1,0,0,5,Registration Process
0,0,3,0,0,3,Serves as an agent of change that advances inspired leaders and scholars in fulfilling Queen Citrine Al-Thunayan Al-Saud ‘s legacy (God rest her soul)
0,2,1,0,1,4,Social Media
0,2,1,0,1,4,Socio-economic growth of the Kingdom
2,0,1,0,1,4,Solutions to societal and economic challenges
0,0,2,0,1,3,Sports Activities
0,2,1,0,1,4,"Student Life (Events, activities, trips, clubs, etc...) "
2,0,1,0,1,4,The accessibility of digital resources
2,0,1,0,1,4,The accessibility of IT systems off campus
0,2,2,0,0,4,The attendance system (fingerprints) services
12,6,0,0,0,18,The Dean of Academic Development and Supportive Studies 
6,0,3,0,3,12,The Dean of Admission and Registration 
6,0,3,0,3,12,The Dean of Graduate Studies and Research 
0,0,3,6,0,9,The Dean of Student Affairs 
0,12,3,0,0,15,The Dean of the College
6,0,6,0,0,12,The Department Chair
0,0,1,4,0,5,The Email services
2,0,1,0,1,4,The functionality of library equipment
0,0,2,0,1,3,The help of library staff
2,0,1,0,1,4,The internet accessibility services on campus
2,2,0,0,1,5,The Learning Management System (Blackboard) services
2,2,1,0,0,5,The library working times
2,0,1,0,1,4,The orientation program for new students
0,6,3,0,3,12,The President of the University
0,6,3,0,3,12,The Provost
2,2,1,0,0,5,The Student Information System (Banner) services
0,4,0,0,1,5,University School Visit
0,2,0,0,2,4,University Website
2,2,1,0,0,5,Use up-to-date and useful study materials 
0,0,2,0,1,3,Used effective methods of teaching
